dt,AverageTemperature,Country,GDP,G20
1978-08-01,0.6963642541624193,Nepal,1604162497.45945,False
1979-08-01,0.7147468569486918,Nepal,1851250008.33333,False
1980-08-01,0.6992864424057084,Nepal,1945916583.33333,False
1981-08-01,0.709412164458036,Nepal,2275583316.66667,False
1982-08-01,0.707713217804961,Nepal,2395429852.43076,False
1983-08-01,0.7130818892286782,Nepal,2447174803.37791,False
1984-08-01,0.698776758409786,Nepal,2581207387.79709,False
1985-08-01,0.7138294257560315,Nepal,2619913955.51556,False
1986-08-01,0.7079170914033299,Nepal,2850784523.37711,False
1987-08-01,0.7097179748555895,Nepal,2957255379.54315,False
1988-08-01,0.7002038735983692,Nepal,3487009748.35638,False
1989-08-01,0.6972137274889568,Nepal,3525228153.17361,False
1990-08-01,0.704247366632688,Nepal,3627562402.66027,False
1991-08-01,0.6900781515460415,Nepal,3921476084.89072,False
1992-08-01,0.6977234114848794,Nepal,3401211581.29176,False
1993-08-01,0.7077471967380224,Nepal,3660041666.66667,False
1994-08-01,0.7093781855249744,Nepal,4066775510.20408,False
1995-08-01,0.6966360856269113,Nepal,4401104417.67068,False
1996-08-01,0.689772341148488,Nepal,4521580381.47139,False
1997-08-01,0.7066598708800544,Nepal,4918691916.53516,False
1998-08-01,0.6997281685355081,Nepal,4856255044.39064,False
1999-08-01,0.6975195378865103,Nepal,5033642384.10596,False
2000-08-01,0.7083588175331295,Nepal,5494252207.90502,False
2001-08-01,0.7199116547740402,Nepal,6007055042.17687,False
2002-08-01,0.7159021406727832,Nepal,6050875806.66403,False
2003-08-01,0.7202174651715937,Nepal,6330473096.54071,False
2004-08-01,0.717057424396874,Nepal,7273938314.71988,False
2005-08-01,0.7236833163438667,Nepal,8130258041.46706,False
2006-08-01,0.7171933401291202,Nepal,9043715355.8881,False
2007-08-01,0.7208290859667006,Nepal,10325618017.379,False
2008-08-01,0.7028882093102277,Nepal,12545438605.3959,False
2009-08-01,0.7308188922867824,Nepal,12854985464.0764,False
2010-08-01,0.7213047910295617,Nepal,16002656434.4746,False
2011-08-01,0.7026163778457357,Nepal,18913574370.76,False
2012-08-01,0.7152905198776758,Nepal,18851513891.066,False
2013-08-01,0.719843696907917,Nepal,19271168018.482,False
1960-08-01,0.4596330275229358,United Kingdom,73233967692.1028,True
1961-08-01,0.463030920829086,United Kingdom,77741965703.3544,True
1962-08-01,0.43815834182806657,United Kingdom,81247564156.8246,True
1963-08-01,0.4324159021406728,United Kingdom,86561961812.3249,True
1964-08-01,0.4624532789670404,United Kingdom,94407558351.1616,True
1965-08-01,0.4493713897383622,United Kingdom,101824755078.991,True
1966-08-01,0.44672103295956506,United Kingdom,108572752102.045,True
1967-08-01,0.4722052327556915,United Kingdom,113116888210.787,True
1968-08-01,0.471899422358138,United Kingdom,107759910067.889,True
1969-08-01,0.4985728848114169,United Kingdom,116464702803.218,True
1970-08-01,0.4854230377166157,United Kingdom,130671946244.3,True
1971-08-01,0.47546721032959566,United Kingdom,148113896325.14,True
1972-08-01,0.45018688413183827,United Kingdom,169965034965.035,True
1973-08-01,0.4941216445803602,United Kingdom,192537971582.558,True
1974-08-01,0.46401630988786957,United Kingdom,206131369798.971,True
1975-08-01,0.5487257900101937,United Kingdom,241756637168.142,True
1976-08-01,0.5269792728508325,United Kingdom,232614555256.065,True
1977-08-01,0.46510363574583763,United Kingdom,263066457352.172,True
1978-08-01,0.4567108392796467,United Kingdom,335883029721.956,True
1979-08-01,0.445905538566089,United Kingdom,438994070309.191,True
1980-08-01,0.47733605164797827,United Kingdom,564947710899.373,True
1981-08-01,0.49524294937138974,United Kingdom,540765675241.158,True
1982-08-01,0.47570506286102615,United Kingdom,515048916841.37,True
1983-08-01,0.528236493374108,United Kingdom,489618008185.539,True
1984-08-01,0.5258919469928645,United Kingdom,461487097632.349,True
1985-08-01,0.4450560652395515,United Kingdom,489285164271.047,True
1986-08-01,0.4152565409446143,United Kingdom,601452653180.885,True
1987-08-01,0.472239211688753,United Kingdom,745162608269.325,True
1988-08-01,0.46204553177030244,United Kingdom,910122732123.799,True
1989-08-01,0.49874277947672446,United Kingdom,926884816753.927,True
1990-08-01,0.5327217125382263,United Kingdom,1093169389204.55,True
1991-08-01,0.5193000339789331,United Kingdom,1142797178130.51,True
1992-08-01,0.46506965681277607,United Kingdom,1179659529659.53,True
1993-08-01,0.44631328576282703,United Kingdom,1061388722255.55,True
1994-08-01,0.4799184505606524,United Kingdom,1140489745944.29,True
1995-08-01,0.56493374108053,United Kingdom,1341584345905.0,True
1996-08-01,0.5018348623853212,United Kingdom,1415358814352.57,True
1997-08-01,0.5653754672103296,United Kingdom,1559078258022.27,True
1998-08-01,0.48766564729867484,United Kingdom,1650172242464.39,True
1999-08-01,0.4942915392456677,United Kingdom,1682399288141.08,True
2000-08-01,0.5051987767584099,United Kingdom,1657816613708.58,True
2001-08-01,0.5079510703363915,United Kingdom,1640246149417.01,True
2002-08-01,0.5143730886850153,United Kingdom,1784473920863.31,True
2003-08-01,0.5491335372069316,United Kingdom,2053018775510.2,True
2004-08-01,0.5300033978933062,United Kingdom,2416931526913.22,True
2005-08-01,0.4965341488277268,United Kingdom,2538680000000.0,True
2006-08-01,0.4936119605844376,United Kingdom,2713749770009.2,True
2007-08-01,0.48324838600067954,United Kingdom,3100882352941.18,True
2008-08-01,0.49830105334692487,United Kingdom,2922667279411.76,True
2009-08-01,0.5110431532449881,United Kingdom,2410909799034.12,True
2010-08-01,0.4753312945973497,United Kingdom,2475244321361.11,True
2011-08-01,0.4683656133197418,United Kingdom,2659310054646.23,True
2012-08-01,0.5148487937478763,United Kingdom,2704887678386.72,True
2013-08-01,0.510431532449881,United Kingdom,2786022872706.81,True
1960-08-01,0.6961264016309887,United States,543300000000.0,True
1961-08-01,0.7039075773020728,United States,563300000000.0,True
1962-08-01,0.7031260618416583,United States,605100000000.0,True
